0.80392157,0.41568627,0.10196078
0.88627451,0.5254902,0.21568627
0.88627451,0.5254902,0.21568627
0.95294118,0.65490196,0.37647059
1,0.80392157,0.50588235
1,0.80392157,0.50588235
0.98823529,0.87843137,0.61176471
0.98823529,0.87843137,0.61176471
1,0.95686275,0.71764706
1,1,1
1,1,1
0.70588235,1,0.79607843
0.36078431,0.94117647,0.69019608
0.36078431,0.94117647,0.69019608
0,0.74509804,0.62352941
0,0.74509804,0.62352941
0.25490196,0.6745098,0.78823529
0,0.44313725,0.70588235
0,0.44313725,0.70588235
0,0.20784314,0.34901961
